Название улицы,Длина,Начальные координаты,Конечные координаты
Бауыржан Момышұлы көшесі,132.913,"(80.2656743, 50.4234827)","(80.2657239, 50.4222878)"
Алтай көшесі,110.841,"(80.2656743, 50.4234827)","(80.2672386, 50.4235019)"
Шәкәрім даңғылы,130.887,"(80.2656743, 50.4234827)","(80.2656975, 50.4246597)"
Алтай көшесі,121.333,"(80.2656743, 50.4234827)","(80.2642397, 50.4240539)"
Шәкәрім даңғылы,115.06,"(80.2656743, 50.4234827)","(80.2648214, 50.4226166)"
Байғожин көшесі,209.779,"(80.2568459, 50.3633853)","(80.2591941, 50.3645322)"
Титова,91.636,"(80.2568459, 50.3633853)","(80.2560704, 50.3640444)"
Семипалатинск — Георгиевка,93.129,"(80.2568459, 50.3633853)","(80.2558359, 50.3628502)"
Сорокина,113.551,"(80.2395391, 50.3757974)","(80.2382283, 50.3752109)"
Сорокина,11.665,"(80.2395391, 50.3757974)","(80.239675, 50.3758565)"
Титова,298.118,"(80.2395391, 50.3757974)","(80.2423589, 50.3738157)"
Байғожин көшесі,25.983,"(80.2618182, 50.3657458)","(80.2621129, 50.3658846)"
Байғожин көшесі,229.901,"(80.2618182, 50.3657458)","(80.2591941, 50.3645322)"
Усть-Каменогорская улица,14.246,"(80.3104462, 50.3912935)","(80.3102755, 50.3913611)"
5-е дачи,144.367,"(80.3104462, 50.3912935)","(80.3108095, 50.390016)"
Усть-Каменогорская улица,67.351,"(80.3104462, 50.3912935)","(80.3112955, 50.3910235)"
Абая,67.737,"(80.2553763, 50.401069)","(80.256332, 50.4010681)"
Абая,100.418,"(80.2553763, 50.401069)","(80.2539597, 50.4010542)"
Семёнова - Тянь-Шанского,94.258,"(80.2553763, 50.401069)","(80.2553321, 50.4002242)"
Абая,38.388,"(80.2811725, 50.4034823)","(80.2806361, 50.4035302)"
Степана Разина,86.468,"(80.2811725, 50.4034823)","(80.2817045, 50.4041821)"
Усть-Каменогорская улица,123.892,"(80.2811725, 50.4034823)","(80.2828837, 50.4032631)"
ул. Селевина,44.315,"(80.2491871, 50.3846881)","(80.2486853, 50.3844505)"
ул. Молдагалиева,92.961,"(80.2491871, 50.3846881)","(80.2499544, 50.3840102)"
ул. Молдагалиева,64.234,"(80.2491871, 50.3846881)","(80.2486466, 50.3851517)"
,46.868,"(80.1429007, 50.3863894)","(80.1429144, 50.3868108)"
Семей-Курчатов,701.12,"(80.1429007, 50.3863894)","(80.1527235, 50.3856613)"
Би Боранбая,207.786,"(80.1392951, 50.3982453)","(80.1421977, 50.398507)"
,11.275,"(80.1392951, 50.3982453)","(80.1391655, 50.3983041)"
,78.551,"(80.1392951, 50.3982453)","(80.1394876, 50.3975582)"
улица Глинки,15.144,"(80.1857468, 50.3990896)","(80.1855639, 50.3990192)"
,54.888000000000005,"(80.1857468, 50.3990896)","(80.1853992, 50.3995056)"
ул. Глинки,159.218,"(80.2170301, 50.3979158)","(80.2147965, 50.3980676)"
Докучаева,12.592,"(80.2170301, 50.3979158)","(80.2170112, 50.3978032)"
Докучаева,14.295,"(80.2170301, 50.3979158)","(80.2170505, 50.3980437)"
Усть-Каменогорская улица,23.707,"(80.3490087, 50.388923)","(80.3493418, 50.3889418)"
Усть-Каменогорская улица,74.917,"(80.3490087, 50.388923)","(80.3479527, 50.388898)"
,19.841,"(80.3490087, 50.388923)","(80.3489817, 50.3887454)"
улица Шугаева,37.414,"(80.2290942, 50.4354531)","(80.2294777, 50.4356845)"
улица Шугаева,101.207,"(80.2294555, 50.4361185)","(80.2285233, 50.4354287)"
улица Кабылбаева,66.864,"(80.2317633, 50.4422278)","(80.2310658, 50.4426331)"
улица Шугаева,405.62100000000004,"(80.2317633, 50.4422278)","(80.2356506, 50.4448924)"
улица Шугаева,33.518,"(80.2317633, 50.4422278)","(80.2314385, 50.4420087)"
улица Кабылбаева,88.322,"(80.2317633, 50.4422278)","(80.2326071, 50.441668)"
улица Дастенова,100.918,"(80.2423889, 50.4351602)","(80.2434103, 50.435793)"
улица Дастенова,60.858,"(80.2423889, 50.4351602)","(80.2418125, 50.4347543)"
улица Кабылбаева,136.687,"(80.2423889, 50.4351602)","(80.2410451, 50.4360425)"
улица Кабылбаева,221.28,"(80.2423889, 50.4351602)","(80.2445307, 50.4337114)"
Сатпаева,82.651,"(80.1521044, 50.477239)","(80.1517754, 50.4765258)"
,237.67900000000003,"(80.1521044, 50.477239)","(80.1544589, 50.4758611)"
Усть-Каменогорская улица,97.598,"(80.3648303, 50.3909277)","(80.363467, 50.3910424)"
Карьерная улица,131.635,"(80.3648303, 50.3909277)","(80.3664806, 50.3903905)"
,305.933,"(80.3648303, 50.3909277)","(80.3625787, 50.3886581)"
Водная,69.879,"(80.3648303, 50.3909277)","(80.3654096, 50.3914311)"
Карьерная улица,312.197,"(80.4025462, 50.3805079)","(80.4052406, 50.3782874)"
,111.14,"(80.4025462, 50.3805079)","(80.4010766, 50.3801604)"
Карьерная улица,547.004,"(80.4025462, 50.3805079)","(80.3964388, 50.3834177)"
,99.94399999999999,"(80.4025462, 50.3805079)","(80.4036623, 50.3810259)"
,181.924,"(80.3485771, 50.4401615)","(80.3465761, 50.4411875)"
Аксаринский поселок ( кордаон Аксаринский),156.428,"(80.3351344, 50.4457444)","(80.3352894, 50.4470525)"
,1782.19,"(80.3351344, 50.4457444)","(80.3409198, 50.4301809)"
Аксай,1107.464,"(80.3351344, 50.4457444)","(80.3194946, 50.4457039)"
,717.209,"(80.3351344, 50.4457444)","(80.3436199, 50.442547)"
Аксай,100.701,"(80.3146955, 50.4457201)","(80.3134358, 50.4461404)"
Аксай,114.204,"(80.3146955, 50.4457201)","(80.3163082, 50.4457071)"
,228.632,"(80.3146955, 50.4457201)","(80.3162062, 50.4475373)"
,171.752,"(80.3052258, 50.4489174)","(80.307271, 50.4480869)"
,250.173,"(80.3052258, 50.4489174)","(80.3076032, 50.4494858)"
,292.793,"(80.3052258, 50.4489174)","(80.306549, 50.4472065)"
,56.888000000000005,"(80.2291867, 50.4349981)","(80.2290942, 50.4354531)"
,427.27099999999996,"(80.2291867, 50.4349981)","(80.2246737, 50.436119)"
улица Шугаева,57.047,"(80.2297999, 50.4360512)","(80.2297, 50.4365598)"
,63.756,"(80.2297999, 50.4360512)","(80.2306113, 50.4358055)"
,29.17,"(80.2297999, 50.4360512)","(80.2294555, 50.4361185)"
улица Шугаева,16.231,"(80.2282207, 50.4349715)","(80.2283854, 50.435073)"
улица Шугаева,118.41299999999998,"(80.2282207, 50.4349715)","(80.2274738, 50.4340193)"
,427.27099999999996,"(80.2246737, 50.436119)","(80.2291867, 50.4349981)"
Сатпаева,260.638,"(80.2246737, 50.436119)","(80.2220116, 50.4377313)"
Садоваяя,27.262,"(80.4199539, 50.3723904)","(80.4202899, 50.3722713)"
Карьерная улица,339.501,"(80.4199539, 50.3723904)","(80.4156566, 50.3737356)"
Садоваяя,785.426,"(80.4199539, 50.3723904)","(80.422946, 50.3714518)"
улица Шугаева,36.575,"(80.2283854, 50.435073)","(80.2287805, 50.4352848)"
,59.104000000000006,"(80.2283854, 50.435073)","(80.2291867, 50.4349981)"
улица Шугаева,55.171,"(80.2285233, 50.4354287)","(80.2282207, 50.4349715)"
,32.958999999999996,"(80.2285233, 50.4354287)","(80.2287805, 50.4352848)"
,316.106,"(80.2285233, 50.4354287)","(80.2246737, 50.436119)"
улица Шугаева,5.146,"(80.2297, 50.4365598)","(80.2297042, 50.436606)"
улица Шугаева,52.464,"(80.2297, 50.4365598)","(80.2294555, 50.4361185)"
Сорокина,31.375,"(80.2454838, 50.3787997)","(80.2458285, 50.3789766)"
Сорокина,118.654,"(80.2454838, 50.3787997)","(80.2441802, 50.3781307)"
проспект Ауэзова,284.929,"(80.2454838, 50.3787997)","(80.2479943, 50.376799)"
Сорокина,58.542,"(80.2539226, 50.383316)","(80.2533216, 50.382955)"
Сорокина,56.682,"(80.2539226, 50.383316)","(80.2545154, 50.3836564)"
,115.364,"(80.2539226, 50.383316)","(80.2527559, 50.3840361)"
Чапаева,69.86,"(80.2514994, 50.4016203)","(80.2521861, 50.402071)"
Абая,92.308,"(80.2514994, 50.4016203)","(80.2505527, 50.4021904)"
Абая,110.185,"(80.2514994, 50.4016203)","(80.2527624, 50.4010687)"
,91.222,"(80.2514994, 50.4016203)","(80.2505882, 50.4020055)"
ул. Турсынгазы Рахимова,186.83,"(80.1910752, 50.4174197)","(80.1909051, 50.415743)"
ул. Щорса,32.64,"(80.1910752, 50.4174197)","(80.1915358, 50.4174252)"
6-й переулок,680.541,"(80.1910752, 50.4174197)","(80.182598, 50.417828)"
ул. Турсынгазы Рахимова,310.249,"(80.1910752, 50.4174197)","(80.1913315, 50.420205)"
Би Боранбая,38.6,"(80.2174235, 50.4032537)","(80.2179538, 50.4031746)"
Би Боранбая,33.815,"(80.2174235, 50.4032537)","(80.2169641, 50.4033358)"
,70.411,"(80.2174235, 50.4032537)","(80.2178247, 50.4027349)"
Би Боранбая,57.907,"(80.2018885, 50.4059366)","(80.2026782, 50.4058029)"
Би Боранбая,871.8929999999999,"(80.2018885, 50.4059366)","(80.18981, 50.4063018)"
Рысқұлов көшесі,102.86499999999998,"(80.2018885, 50.4059366)","(80.2018575, 50.4050273)"
Би Боранбая,13.199,"(80.1861644, 50.4052604)","(80.1863325, 50.4053115)"
Би Боранбая,32.831,"(80.1861644, 50.4052604)","(80.1857359, 50.4051482)"
,18.737,"(80.1861644, 50.4052604)","(80.1863752, 50.4051587)"
Қабанбай Батыр көшесі,74.792,"(80.2626659, 50.4125079)","(80.2619415, 50.4129971)"
Торайгырова,168.952,"(80.2626659, 50.4125079)","(80.2643857, 50.4135603)"
Қабанбай Батыр көшесі,132.909,"(80.2626659, 50.4125079)","(80.2640067, 50.4116748)"
Қабанбай Батыр көшесі,109.749,"(80.2469476, 50.4228627)","(80.2480337, 50.4221589)"
Қабанбай Батыр көшесі,108.779,"(80.2469476, 50.4228627)","(80.2458748, 50.4235626)"
Елемесов көшесі,172.376,"(80.2469476, 50.4228627)","(80.2452024, 50.4217825)"
Елемесова (Красногвардейская),190.51299999999998,"(80.2469476, 50.4228627)","(80.2487213, 50.4241228)"
Елемесова (Красногвардейская),102.021,"(80.2329505, 50.4141604)","(80.2339887, 50.4147961)"
Абая,110.555,"(80.2329505, 50.4141604)","(80.2318602, 50.4148716)"
Елемесова (Красногвардейская),47.624,"(80.2399473, 50.418439)","(80.2394594, 50.4181444)"
Дулатұлы көшесі,41.899,"(80.2399473, 50.418439)","(80.2403504, 50.4181633)"
Елемесов көшесі,176.472,"(80.2399473, 50.418439)","(80.2417153, 50.4195569)"
Дулатұлы көшесі,115.877,"(80.2399473, 50.418439)","(80.2387989, 50.419181)"
улица Дулатова,34.753,"(80.2490756, 50.4125045)","(80.2494147, 50.4122787)"
Шәкәрім даңғылы,69.706,"(80.2490756, 50.4125045)","(80.2483653, 50.4120708)"
Дулатұлы көшесі,128.18,"(80.2490756, 50.4125045)","(80.2478093, 50.4133277)"
Шәкәрім даңғылы,38.403,"(80.2490756, 50.4125045)","(80.2494707, 50.4127409)"
Қайым Мұхамедханов көшесі,44.336,"(80.2470386, 50.404458)","(80.2474777, 50.404742)"
Қайым Мұхамедханов көшесі,49.151,"(80.2470386, 50.404458)","(80.24653, 50.4041575)"
Абая,48.834,"(80.2470386, 50.404458)","(80.247524, 50.4041463)"
Абая,42.223,"(80.2470386, 50.404458)","(80.2466113, 50.4047226)"
ул. Дулатова,11.984,"(80.2543313, 50.4089717)","(80.2544501, 50.408895)"
улица Дулатова,9.594,"(80.2543313, 50.4089717)","(80.2542383, 50.4090344)"
Қайым Мұхамедханов көшесі,7.059,"(80.2543313, 50.4089717)","(80.2542601, 50.4089273)"
Қайым Мұхамедханұлы,13.657,"(80.2543313, 50.4089717)","(80.2544701, 50.4090569)"
Қабанбай Батыр көшесі,50.145,"(80.2614716, 50.4133343)","(80.2619415, 50.4129971)"
Қабанбай Батыр көшесі,133.371,"(80.2614716, 50.4133343)","(80.2601509, 50.4141889)"
Қайым Мұхамедханұлы,172.726,"(80.2614716, 50.4133343)","(80.2596983, 50.4122685)"
Қайым Мұхамедханов көшесі,164.635,"(80.2614716, 50.4133343)","(80.2630837, 50.4144002)"
ул. А. Найманбаева,96.509,"(80.2561112, 50.4100637)","(80.255187, 50.4107012)"
ул. А. Найманбаева,125.591,"(80.2561112, 50.4100637)","(80.2572998, 50.4092259)"
Қайым Мұхамедханұлы,173.655,"(80.2561112, 50.4100637)","(80.25787, 50.4111512)"
Қайым Мұхамедханұлы,161.424,"(80.2561112, 50.4100637)","(80.2544701, 50.4090569)"
Туристическая улица,127.191,"(80.3049877, 50.4451063)","(80.305766, 50.4461372)"
Туристическая улица,123.832,"(80.3049877, 50.4451063)","(80.3038111, 50.4442974)"
,135.303,"(80.3049877, 50.4451063)","(80.30677, 50.4448498)"
Туристическая улица,110.441,"(80.307271, 50.4480869)","(80.306549, 50.4472065)"
,122.395,"(80.307271, 50.4480869)","(80.3080654, 50.4490645)"
,171.752,"(80.307271, 50.4480869)","(80.3052258, 50.4489174)"
Аксай,142.43099999999998,"(80.307271, 50.4480869)","(80.3091251, 50.4476068)"
,98.194,"(80.2172102, 50.343347)","(80.2170246, 50.3442221)"
,6.875,"(80.2172102, 50.343347)","(80.2172185, 50.3432854)"
,1662.944,"(80.2172102, 50.343347)","(80.1945744, 50.346931)"
Жангелдин көшесі,16.279,"(80.2537975, 50.4365448)","(80.2536425, 50.4366529)"
Қаржаубайұлы көшесі,72.699,"(80.2537975, 50.4365448)","(80.2544236, 50.4370629)"
Жангелдин көшесі,91.74499999999999,"(80.2537975, 50.4365448)","(80.2547144, 50.435962)"
ул. Волгоградская,51.709,"(80.2293042, 50.3746918)","(80.2286014, 50.3745679)"
Иртышск,90.559,"(80.2293042, 50.3746918)","(80.2281563, 50.374906)"
ул. Автодорожная,43.137,"(80.2165013, 50.3830715)","(80.2158948, 50.383102)"
ул. Автодорожная,43.169,"(80.2165013, 50.3830715)","(80.2170071, 50.3828554)"
ул. Рыскулова,116.96499999999999,"(80.2165013, 50.3830715)","(80.2168978, 50.3840897)"
,117.51400000000001,"(80.2165013, 50.3830715)","(80.2149976, 50.3831255)"
ул. Рыскулова,40.423,"(80.2168978, 50.3840897)","(80.2167016, 50.3844292)"
ул. Рыскулова,116.965,"(80.2168978, 50.3840897)","(80.2165013, 50.3830715)"
ул. Победы,206.832,"(80.2168978, 50.3840897)","(80.2196235, 50.383452)"
ул. Рыскулова,74.54,"(80.2167016, 50.3844292)","(80.2160981, 50.3849781)"
ул. Акмолинский заезд,85.921,"(80.2167016, 50.3844292)","(80.2176295, 50.3849262)"
ул. Рыскулова,40.423,"(80.2167016, 50.3844292)","(80.2168978, 50.3840897)"
ул. Рыскулова,337.502,"(80.2133255, 50.387615)","(80.2105994, 50.3901033)"
ул. Рыскулова,153.604,"(80.2133255, 50.387615)","(80.2145777, 50.3864877)"
ул. 2-ая школьная,44.989,"(80.2133255, 50.387615)","(80.2138232, 50.387866)"
,93.912,"(80.2133255, 50.387615)","(80.2122706, 50.3871042)"
Карменова,118.03,"(80.2139548, 50.3957913)","(80.2137499, 50.3947379)"
Карменова,63.221,"(80.2139548, 50.3957913)","(80.2140545, 50.3963563)"
Галето,53.22,"(80.2139548, 50.3957913)","(80.2132079, 50.39584)"
Докучаева,322.60699999999997,"(80.2139548, 50.3957913)","(80.216258, 50.3943432)"
Карменова,15.283,"(80.2143868, 50.3980985)","(80.2143676, 50.3979616)"
Карменова,11.368,"(80.2143868, 50.3980985)","(80.2144047, 50.3982001)"
ул. Глинки,16.069,"(80.2143868, 50.3980985)","(80.2141604, 50.398091)"
Сатпаева,58.553,"(80.2171536, 50.4520738)","(80.2167406, 50.4525268)"
улица Джангильдина,39.678,"(80.2171536, 50.4520738)","(80.2175646, 50.4522859)"
,21.472,"(80.2260729, 50.3952811)","(80.2262239, 50.3954485)"
,16.019,"(80.2260729, 50.3952811)","(80.2259723, 50.3951521)"
проспект Ауэзова,213.28300000000002,"(80.2260729, 50.3952811)","(80.2286424, 50.3942866)"
Иртышская улица,20.681,"(80.2272827, 50.3892037)","(80.2270222, 50.38912)"
Бозтаева,254.485,"(80.2272827, 50.3892037)","(80.2256342, 50.3912366)"
Иртышская улица,84.34100000000001,"(80.2272827, 50.3892037)","(80.2283542, 50.3895332)"
Бозтаева,53.307,"(80.2357692, 50.3786207)","(80.2362575, 50.3782562)"
,96.65299999999999,"(80.2357692, 50.3786207)","(80.2354904, 50.377851)"
Бозтаева,24.451,"(80.2270222, 50.38912)","(80.2271834, 50.3889256)"
Иртышская улица,20.681,"(80.2270222, 50.38912)","(80.2272827, 50.3892037)"
,53.376999999999995,"(80.2270222, 50.38912)","(80.2265001, 50.3893914)"
,26.339,"(80.2254289, 50.3910999)","(80.2251307, 50.3909586)"
Первомайская улица,21.045,"(80.2254289, 50.3910999)","(80.2256342, 50.3912366)"
Бозтаева,187.915,"(80.2254289, 50.3910999)","(80.2266361, 50.3895954)"
Первомайская улица,60.89,"(80.2256342, 50.3912366)","(80.2261225, 50.3916871)"
Первомайская улица,21.045,"(80.2256342, 50.3912366)","(80.2254289, 50.3910999)"
Бозтаева,157.03,"(80.2256342, 50.3912366)","(80.2249382, 50.392576)"
Ч. Валиханова,132.674,"(80.25787, 50.4111512)","(80.2565694, 50.4120095)"
Қайым Мұхамедханұлы,69.047,"(80.25787, 50.4111512)","(80.2585652, 50.4115863)"
Қайым Мұхамедханұлы,173.655,"(80.25787, 50.4111512)","(80.2561112, 50.4100637)"
Уәлиханов көшесі,127.356,"(80.2526273, 50.4146494)","(80.2513825, 50.4154756)"
Шәкәрім даңғылы,168.166,"(80.2526273, 50.4146494)","(80.2509162, 50.4136014)"
Шәкәрім даңғылы,65.458,"(80.2526273, 50.4146494)","(80.2533001, 50.4150528)"
Уәлиханов көшесі,133.413,"(80.2526273, 50.4146494)","(80.2539219, 50.4137782)"
ул. Глинки,20.881,"(80.2014389, 50.3988887)","(80.2011508, 50.3989279)"
,12.296,"(80.2014389, 50.3988887)","(80.2014171, 50.398779)"
Бауыржан Момышұлы көшесі,66.027,"(80.2552266, 50.4129073)","(80.2545676, 50.4124875)"
Бауыржан Момышұлы көшесі,153.884,"(80.2552266, 50.4129073)","(80.2567834, 50.4138722)"
Уәлиханов көшесі,133.883,"(80.2552266, 50.4129073)","(80.2539219, 50.4137782)"
Уәлиханов көшесі,63.017,"(80.2552266, 50.4129073)","(80.2558404, 50.4124972)"
улица Дулатова,23.881,"(80.2517085, 50.4107268)","(80.2519366, 50.4105687)"
улица Дулатова,132.272,"(80.2517085, 50.4107268)","(80.2504303, 50.4115937)"
Бауыржан Момышұлы көшесі,119.105,"(80.2517085, 50.4107268)","(80.2505036, 50.40998)"
Бауыржан Момышұлы көшесі,171.677,"(80.2517085, 50.4107268)","(80.2534688, 50.4117876)"
Абая,18.426,"(80.2444004, 50.4061782)","(80.2445823, 50.4060598)"
Абая,19.435,"(80.2444004, 50.4061782)","(80.2442232, 50.4063116)"
Б. Момышулы (Горького),71.18,"(80.2444004, 50.4061782)","(80.2451056, 50.4066339)"
Қабанбай Батыр көшесі,4.55,"(80.2587512, 50.4150918)","(80.2587957, 50.4150623)"
Қабанбай Батыр көшесі,134.29,"(80.2587512, 50.4150918)","(80.2574452, 50.415967)"
Бауыржан Момышұлы көшесі,11.382,"(80.2587512, 50.4150918)","(80.2586361, 50.4150204)"
Бауыржан Момышұлы көшесі,11.421,"(80.2587512, 50.4150918)","(80.2588663, 50.4151637)"
улица Ибраева,135.027,"(80.2491495, 50.409123)","(80.2505371, 50.4082908)"
улица Ибраева,34.86,"(80.2491495, 50.409123)","(80.2488089, 50.4093492)"
Бауыржан Момышұлы көшесі,36.262,"(80.2491495, 50.409123)","(80.2487838, 50.4088949)"
Бауыржан Момышұлы көшесі,135.236,"(80.2491495, 50.409123)","(80.2505036, 50.40998)"
улица Ибраева,122.998,"(80.2518795, 50.4074593)","(80.2530268, 50.4066293)"
