Название улицы,Длина,Начальные координаты,Конечные координаты
,84.484,"(71.3213223, 42.8822817)","(71.3204607, 42.8818648)"
,107.158,"(71.3171249, 42.8814863)","(71.31611, 42.8808734)"
,258.919,"(71.3171249, 42.8814863)","(71.319506, 42.8830283)"
,266.264,"(71.3171249, 42.8814863)","(71.3188354, 42.879447)"
,39.49,"(71.3153967, 42.8804083)","(71.315025, 42.8801804)"
,77.798,"(71.3153967, 42.8804083)","(71.31611, 42.8808734)"
,134.368,"(71.3153967, 42.8804083)","(71.3162153, 42.8793593)"
,134.368,"(71.3162153, 42.8793593)","(71.3153967, 42.8804083)"
,45.078,"(71.3162153, 42.8793593)","(71.3166765, 42.8795832)"
,120.76299999999999,"(71.3162153, 42.8793593)","(71.3169135, 42.8784083)"
,45.078,"(71.3166765, 42.8795832)","(71.3162153, 42.8793593)"
,44.728,"(71.3166765, 42.8795832)","(71.3163638, 42.8799138)"
,113.205,"(71.3166765, 42.8795832)","(71.3178571, 42.8801199)"
,175.982,"(71.3166765, 42.8795832)","(71.3178571, 42.8801199)"
,29.917,"(71.316391, 42.8807358)","(71.3165883, 42.8805089)"
,76.439,"(71.316391, 42.8807358)","(71.3160742, 42.8802664)"
,190.098,"(71.316391, 42.8807358)","(71.3178571, 42.8801199)"
,44.728,"(71.3163638, 42.8799138)","(71.3166765, 42.8795832)"
,45.761,"(71.3163638, 42.8799138)","(71.3160742, 42.8802664)"
,96.207,"(71.3163638, 42.8799138)","(71.3165883, 42.8805089)"
,29.917,"(71.3165883, 42.8805089)","(71.316391, 42.8807358)"
,49.818,"(71.3165883, 42.8805089)","(71.3160742, 42.8802664)"
,96.207,"(71.3165883, 42.8805089)","(71.3163638, 42.8799138)"
,45.761,"(71.3160742, 42.8802664)","(71.3163638, 42.8799138)"
,49.818,"(71.3160742, 42.8802664)","(71.3165883, 42.8805089)"
,76.439,"(71.3160742, 42.8802664)","(71.316391, 42.8807358)"
,61.737,"(71.3232343, 42.878915)","(71.3227343, 42.8785004)"
,16.358,"(71.3232343, 42.878915)","(71.3233201, 42.8790477)"
,69.521,"(71.3232343, 42.878915)","(71.3226919, 42.8793973)"
,49.121,"(71.3260923, 42.9330836)","(71.3255807, 42.9333178)"
,49.121,"(71.3255807, 42.9333178)","(71.3260923, 42.9330836)"
,47.331,"(71.3255807, 42.9333178)","(71.3253021, 42.9329442)"
,504.371,"(71.3255807, 42.9333178)","(71.3203261, 42.9355544)"
,47.331,"(71.3253021, 42.9329442)","(71.3255807, 42.9333178)"
,58.686,"(71.3308432, 42.930226)","(71.3301327, 42.930137)"
,84.322,"(71.3308432, 42.930226)","(71.3301327, 42.930137)"
,15.371,"(71.3308432, 42.930226)","(71.3310319, 42.9302305)"
,58.686,"(71.3301327, 42.930137)","(71.3308432, 42.930226)"
,84.322,"(71.3301327, 42.930137)","(71.3308432, 42.930226)"
,80.696,"(71.3301327, 42.930137)","(71.3292254, 42.9298503)"
,310.90200000000004,"(71.3309452, 42.9323932)","(71.33167, 42.9304997)"
Шерхан Мұртаза көшесі,24.498,"(71.3813424, 42.9063771)","(71.3811277, 42.9065314)"
Шерхан Мұртаза көшесі,31.681,"(71.3813424, 42.9063771)","(71.3816201, 42.9061776)"
,100.88499999999999,"(71.3813424, 42.9063771)","(71.3818979, 42.9070609)"
,100.88499999999999,"(71.3818979, 42.9070609)","(71.3813424, 42.9063771)"
,35.813,"(71.379691, 42.9028452)","(71.3793041, 42.9026922)"
Сүлейменов,11.165,"(71.379691, 42.9028452)","(71.3795547, 42.9028559)"
Сүлейменов,20.868,"(71.379691, 42.9028452)","(71.3799445, 42.902818)"
,281.03,"(71.379691, 42.9028452)","(71.3823519, 42.9044446)"
,21.739,"(71.3783982, 42.90296)","(71.3784252, 42.9031545)"
,19.124,"(71.3783982, 42.90296)","(71.3783744, 42.9027889)"
Сүлейменов,109.645,"(71.3783982, 42.90296)","(71.3770617, 42.9030778)"
Сүлейменов,52.318,"(71.3783982, 42.90296)","(71.3790382, 42.90292)"
,8.344,"(71.37812, 42.9015286)","(71.3782204, 42.9015137)"
,5.608,"(71.37812, 42.9015286)","(71.378052, 42.9015365)"
,38.163,"(71.37812, 42.9015286)","(71.378168, 42.90187)"
,51.973,"(71.37812, 42.9015286)","(71.3783162, 42.9011171)"
Төле би даңғылы,22.109,"(71.3787665, 42.9010188)","(71.3784987, 42.9010512)"
Төле би даңғылы,13.156,"(71.3787665, 42.9010188)","(71.3789254, 42.9009976)"
,5.059,"(71.3787665, 42.9010188)","(71.3787557, 42.900974)"
,22.782,"(71.3787665, 42.9010188)","(71.3788308, 42.9012182)"
Абай даңғылы,23.103,"(71.3785585, 42.9012543)","(71.3784987, 42.9010512)"
,17.701,"(71.3785585, 42.9012543)","(71.3783435, 42.9012775)"
Абай даңғылы,189.46400000000003,"(71.3785585, 42.9012543)","(71.3797343, 42.9026851)"
,22.552999999999997,"(71.3785585, 42.9012543)","(71.3788308, 42.9012182)"
,44.083,"(71.3757938, 42.9025191)","(71.3757746, 42.9021229)"
,3.285,"(71.3757938, 42.9025191)","(71.3758336, 42.9025143)"
,214.35200000000003,"(71.3757938, 42.9025191)","(71.3731781, 42.9027278)"
,21.827,"(71.3729104, 42.902761)","(71.3726475, 42.902799)"
,17.276,"(71.3729104, 42.902761)","(71.3729705, 42.90291)"
,22.145,"(71.3729104, 42.902761)","(71.3731781, 42.9027278)"
,3.285,"(71.3758336, 42.9025143)","(71.3757938, 42.9025191)"
,12.884,"(71.3758336, 42.9025143)","(71.3759071, 42.9026169)"
,64.483,"(71.3758336, 42.9025143)","(71.3766106, 42.9024245)"
,37.185,"(71.3770616, 42.9023726)","(71.3766106, 42.9024245)"
,14.793,"(71.3770616, 42.9023726)","(71.377094, 42.9025035)"
,43.29,"(71.3770616, 42.9023726)","(71.3775885, 42.9023216)"
,101.724,"(71.3783318, 42.9023819)","(71.377094, 42.9025035)"
,48.227,"(71.3783318, 42.9023819)","(71.3789195, 42.9023292)"
,28.349,"(71.3783318, 42.9023819)","(71.3783648, 42.9026357)"
,96.96499999999999,"(71.3783318, 42.9023819)","(71.3782204, 42.9015137)"
,21.295,"(71.3744944, 42.9033071)","(71.3745237, 42.9034974)"
,12.834,"(71.3744944, 42.9033071)","(71.3744768, 42.9031924)"
Сүлейменов,14.042,"(71.3744944, 42.9033071)","(71.3746655, 42.9032916)"
Сүлейменов,82.32,"(71.3744944, 42.9033071)","(71.373493, 42.9034043)"
,77.621,"(71.3684974, 42.9030548)","(71.3675818, 42.9032484)"
,19.655,"(71.3684974, 42.9030548)","(71.3687308, 42.9030099)"
,64.98,"(71.3684974, 42.9030548)","(71.3683501, 42.9024805)"
,77.028,"(71.3684974, 42.9030548)","(71.3686845, 42.9037338)"
Желтоқсан,45.92,"(71.3681484, 42.9011693)","(71.3682751, 42.9015717)"
Желтоқсан,22.857,"(71.3681484, 42.9011693)","(71.3680576, 42.9009748)"
,20.818,"(71.3681484, 42.9011693)","(71.3684038, 42.9011764)"
,18.397,"(71.3681484, 42.9011693)","(71.3679227, 42.901163)"
Төле би даңғылы,35.953,"(71.3684985, 42.90099)","(71.3680576, 42.9009748)"
Төле би даңғылы,129.898,"(71.3684985, 42.90099)","(71.3700915, 42.9010447)"
,28.974,"(71.3684985, 42.90099)","(71.3685068, 42.9007295)"
,15.954,"(71.3684985, 42.90099)","(71.3684919, 42.9011334)"
,54.979,"(71.3661411, 42.9006274)","(71.366815, 42.9006552)"
,57.31,"(71.3661411, 42.9006274)","(71.3654387, 42.9005975)"
,22.481,"(71.3661411, 42.9006274)","(71.3662457, 42.9004471)"
,8.814,"(71.3663845, 42.9003098)","(71.3663201, 42.9003735)"
,26.95,"(71.3650522, 42.900581)","(71.3653825, 42.9005951)"
,3.533,"(71.3650522, 42.900581)","(71.3650089, 42.9005792)"
,27.435,"(71.3650522, 42.900581)","(71.3653314, 42.900443)"
,27.435,"(71.3653314, 42.900443)","(71.3650522, 42.900581)"
,5.041,"(71.3653314, 42.900443)","(71.3653137, 42.9004002)"
,5.042,"(71.3653314, 42.900443)","(71.365381, 42.9004691)"
,14.011,"(71.365381, 42.9004691)","(71.3653825, 42.9005951)"
,5.042,"(71.365381, 42.9004691)","(71.3653314, 42.900443)"
,5.089,"(71.365381, 42.9004691)","(71.3654426, 42.9004674)"
,14.209,"(71.3654183, 42.9003335)","(71.3654276, 42.9002059)"
,7.697,"(71.3654183, 42.9003335)","(71.3654932, 42.9003714)"
,7.5649999999999995,"(71.3654183, 42.9003335)","(71.3653354, 42.9003584)"
,58.69,"(71.3654932, 42.9003714)","(71.3662137, 42.9003759)"
,5.131,"(71.3654932, 42.9003714)","(71.3655014, 42.9004165)"
,7.697000000000001,"(71.3654932, 42.9003714)","(71.3654183, 42.9003335)"
,24.045,"(71.3653137, 42.9004002)","(71.3650189, 42.9004113)"
,5.039,"(71.3653137, 42.9004002)","(71.3653354, 42.9003584)"
,5.041,"(71.3653137, 42.9004002)","(71.3653314, 42.900443)"
,30.459,"(71.3653354, 42.9003584)","(71.3650314, 42.9001989)"
,7.5649999999999995,"(71.3653354, 42.9003584)","(71.3654183, 42.9003335)"
,5.039,"(71.3653354, 42.9003584)","(71.3653137, 42.9004002)"
,57.76,"(71.3655014, 42.9004165)","(71.3662105, 42.9004183)"
,7.695,"(71.3655014, 42.9004165)","(71.3654426, 42.9004674)"
,5.131,"(71.3655014, 42.9004165)","(71.3654932, 42.9003714)"
,14.47,"(71.3654426, 42.9004674)","(71.3654387, 42.9005975)"
,5.089,"(71.3654426, 42.9004674)","(71.365381, 42.9004691)"
,7.695,"(71.3654426, 42.9004674)","(71.3655014, 42.9004165)"
,3.533,"(71.3650089, 42.9005792)","(71.3650522, 42.900581)"
,8.147,"(71.3650089, 42.9005792)","(71.3649221, 42.9006156)"
,18.687,"(71.3650089, 42.9005792)","(71.3650189, 42.9004113)"
,8.938,"(71.3650362, 42.9001186)","(71.3650314, 42.9001989)"
,8.938,"(71.3650314, 42.9001989)","(71.3650362, 42.9001186)"
,23.64,"(71.3650314, 42.9001989)","(71.3650189, 42.9004113)"
,30.459,"(71.3650314, 42.9001989)","(71.3653354, 42.9003584)"
,23.64,"(71.3650189, 42.9004113)","(71.3650314, 42.9001989)"
,18.687,"(71.3650189, 42.9004113)","(71.3650089, 42.9005792)"
,24.045,"(71.3650189, 42.9004113)","(71.3653137, 42.9004002)"
,4.586,"(71.3653825, 42.9005951)","(71.3654387, 42.9005975)"
,26.95,"(71.3653825, 42.9005951)","(71.3650522, 42.900581)"
,14.011,"(71.3653825, 42.9005951)","(71.365381, 42.9004691)"
,57.31,"(71.3654387, 42.9005975)","(71.3661411, 42.9006274)"
,4.586,"(71.3654387, 42.9005975)","(71.3653825, 42.9005951)"
,14.47,"(71.3654387, 42.9005975)","(71.3654426, 42.9004674)"
,14.209,"(71.3654276, 42.9002059)","(71.3654183, 42.9003335)"
,8.671,"(71.3662137, 42.9003759)","(71.3663201, 42.9003735)"
,58.69,"(71.3662137, 42.9003759)","(71.3654932, 42.9003714)"
,4.722,"(71.3662137, 42.9003759)","(71.3662105, 42.9004183)"
,8.814,"(71.3663201, 42.9003735)","(71.3663845, 42.9003098)"
,10.183,"(71.3663201, 42.9003735)","(71.3662457, 42.9004471)"
,8.671,"(71.3663201, 42.9003735)","(71.3662137, 42.9003759)"
,4.298,"(71.3662105, 42.9004183)","(71.3662457, 42.9004471)"
,57.76,"(71.3662105, 42.9004183)","(71.3655014, 42.9004165)"
,4.722,"(71.3662105, 42.9004183)","(71.3662137, 42.9003759)"
,10.183,"(71.3662457, 42.9004471)","(71.3663201, 42.9003735)"
,4.298,"(71.3662457, 42.9004471)","(71.3662105, 42.9004183)"
,22.481,"(71.3662457, 42.9004471)","(71.3661411, 42.9006274)"
Қойгелді,42.532,"(71.3648339, 42.901047)","(71.3649647, 42.9014173)"
Қойгелді,19.225,"(71.3648339, 42.901047)","(71.3647754, 42.9008795)"
,18.373,"(71.3648339, 42.901047)","(71.3646095, 42.9010302)"
,32.446,"(71.3648339, 42.901047)","(71.3652313, 42.9010473)"
Есей би,102.559,"(71.3967088, 42.8818114)","(71.3961023, 42.8826196)"
,78.738,"(71.3967088, 42.8818114)","(71.3975217, 42.8821943)"
Есей би,229.026,"(71.3967088, 42.8818114)","(71.3982626, 42.8801124)"
Водопьянова,16.461,"(71.3975217, 42.8821943)","(71.3976067, 42.88206)"
,78.738,"(71.3975217, 42.8821943)","(71.3967088, 42.8818114)"
Водопьянова,93.299,"(71.3975217, 42.8821943)","(71.3969647, 42.8829274)"
Аққозиев,42.06,"(71.4026691, 42.8855167)","(71.402555, 42.8858856)"
Аққозиев 4 бұрылыс,195.57100000000003,"(71.4026691, 42.8855167)","(71.4032649, 42.8869459)"
Аққозиев,57.535000000000004,"(71.4026691, 42.8855167)","(71.4026172, 42.8850018)"
,67.797,"(71.401489, 42.8856683)","(71.4008422, 42.8857879)"
Ат Тарази,50.948,"(71.4008422, 42.8857879)","(71.400936, 42.8853349)"
Ат Тарази,63.05800000000001,"(71.4008422, 42.8857879)","(71.4009097, 42.8863232)"
,67.797,"(71.4008422, 42.8857879)","(71.401489, 42.8856683)"
Байзак батыра 3 переулок,36.76,"(71.3967867, 42.8880295)","(71.3972247, 42.8881089)"
Байзак батыра 3 переулок,12.969,"(71.3967867, 42.8880295)","(71.3966383, 42.8879873)"
Узбекская,270.433,"(71.3967867, 42.8880295)","(71.3983914, 42.8859014)"
Ниетқалиев,88.849,"(71.3510178, 42.9090776)","(71.3501196, 42.9095311)"
Ниетқалиев,113.336,"(71.3510178, 42.9090776)","(71.352188, 42.908526)"
,110.689,"(71.3510178, 42.9090776)","(71.3516897, 42.9099429)"
,64.075,"(71.3598607, 42.9128634)","(71.3593684, 42.9133129)"
,64.075,"(71.3593684, 42.9133129)","(71.3598607, 42.9128634)"
Ұлбике ақын,115.334,"(71.3593684, 42.9133129)","(71.3604161, 42.9140108)"
Ұлбике ақын,80.74,"(71.3593684, 42.9133129)","(71.358635, 42.9128243)"
,45.054,"(71.3457679, 42.9214386)","(71.3453646, 42.9211612)"
,79.238,"(71.3679432, 42.9080272)","(71.3687392, 42.9084269)"
Қажымұқан,146.757,"(71.3687392, 42.9084269)","(71.3679144, 42.9096001)"
Қажымұқан,99.474,"(71.3687392, 42.9084269)","(71.3694706, 42.9077108)"
,79.238,"(71.3687392, 42.9084269)","(71.3679432, 42.9080272)"
Датова,157.53,"(71.3684863, 42.9127445)","(71.3672127, 42.9138108)"
Датова 2 переулок,77.30199999999999,"(71.3684863, 42.9127445)","(71.3677019, 42.9123533)"
Датова 2 переулок,90.419,"(71.3684863, 42.9127445)","(71.3693839, 42.9131798)"
Көшек Батыр,91.792,"(71.3693839, 42.9131798)","(71.3701506, 42.9125747)"
Көшек Батыр,165.966,"(71.3693839, 42.9131798)","(71.367949, 42.9142397)"
Датова 2 переулок,90.419,"(71.3693839, 42.9131798)","(71.3684863, 42.9127445)"
,112.678,"(71.3741847, 42.9078391)","(71.3753265, 42.9081335)"
Көшек Батыр,88.569,"(71.3753265, 42.9081335)","(71.3758159, 42.9074222)"
Көшек Батыр,67.12,"(71.3753265, 42.9081335)","(71.3749342, 42.908664)"
,112.678,"(71.3753265, 42.9081335)","(71.3741847, 42.9078391)"
,24.17,"(71.3766124, 42.9123955)","(71.3768449, 42.9125306)"
Ақша батыр,72.702,"(71.3768449, 42.9125306)","(71.3774198, 42.9120304)"
,24.17,"(71.3768449, 42.9125306)","(71.3766124, 42.9123955)"
Ақша батыр,53.336,"(71.3768449, 42.9125306)","(71.3764536, 42.9129148)"
Акша батыра,54.723,"(71.3749302, 42.9136027)","(71.3754522, 42.9139126)"
Акша батыра,21.122,"(71.3749302, 42.9136027)","(71.3747287, 42.9134831)"
,41.207,"(71.3749302, 42.9136027)","(71.3746517, 42.9139121)"
,41.207,"(71.3746517, 42.9139121)","(71.3749302, 42.9136027)"
Көшек Батыр,48.271,"(71.37787, 42.9045403)","(71.3775372, 42.9048995)"
,59.897,"(71.37787, 42.9045403)","(71.3784225, 42.9048958)"
Көшек Батыр,49.698,"(71.37787, 42.9045403)","(71.3782289, 42.9041789)"
,59.897,"(71.3784225, 42.9048958)","(71.37787, 42.9045403)"
Пушкина,63.211,"(71.3795072, 42.9145581)","(71.378874, 42.9142293)"
,85.435,"(71.3829906, 42.9113132)","(71.3839873, 42.9115529)"
Асқаров,49.281,"(71.3829906, 42.9113132)","(71.3827023, 42.9117015)"
Асқаров,163.737,"(71.3829906, 42.9113132)","(71.3837492, 42.9099499)"
Бурыл 2 переулок,22.744,"(71.3839873, 42.9115529)","(71.383898, 42.9117467)"
,85.435,"(71.3839873, 42.9115529)","(71.3829906, 42.9113132)"
Бурыл 2 переулок,168.036,"(71.3839873, 42.9115529)","(71.3846548, 42.910123)"
Лазарева,67.157,"(71.3705505, 42.9213651)","(71.37122, 42.9217178)"
Лазарева,90.223,"(71.3705505, 42.9213651)","(71.3696511, 42.9208912)"
Барбюса 3 переулок,112.174,"(71.3705505, 42.9213651)","(71.3698298, 42.9222214)"
Барбюса 3 переулок,112.174,"(71.3698298, 42.9222214)","(71.3705505, 42.9213651)"
Мичурина 1 переулок,50.459,"(71.3797681, 42.9226705)","(71.379997, 42.9222488)"
Жургенева,116.173,"(71.3758627, 42.928394)","(71.3744785, 42.9281404)"
Жургенева,85.86,"(71.3758627, 42.928394)","(71.3768857, 42.9285815)"
Барбол,76.297,"(71.3758627, 42.928394)","(71.3757154, 42.9290715)"
Синявина,21.293,"(71.3758627, 42.928394)","(71.3759249, 42.9282081)"
Жургенева,85.86,"(71.3768857, 42.9285815)","(71.3758627, 42.928394)"
Жургенева,9.634,"(71.3768857, 42.9285815)","(71.3770005, 42.9286025)"
Петрашевского,176.767,"(71.3768857, 42.9285815)","(71.3765853, 42.9301559)"
Жургенева,9.634,"(71.3770005, 42.9286025)","(71.3768857, 42.9285815)"
Жургенева,90.953,"(71.3770005, 42.9286025)","(71.3780842, 42.9288011)"
,73.113,"(71.3770005, 42.9286025)","(71.3772454, 42.9279699)"
Асқаров,181.445,"(71.3780842, 42.9288011)","(71.3777722, 42.9304168)"
Асқаров,125.766,"(71.3780842, 42.9288011)","(71.3783005, 42.9276812)"
Жургенева,90.953,"(71.3780842, 42.9288011)","(71.3770005, 42.9286025)"
Жургенева,101.982,"(71.3780842, 42.9288011)","(71.3792921, 42.9290439)"
Алексеева,178.952,"(71.3792921, 42.9290439)","(71.3789684, 42.9306357)"
Жургенева,101.982,"(71.3792921, 42.9290439)","(71.3780842, 42.9288011)"
Жургенева,90.341,"(71.3792921, 42.9290439)","(71.3803765, 42.9292161)"
Койбакова,174.378,"(71.3803765, 42.9292161)","(71.3801471, 42.9307753)"
Жургенева,90.341,"(71.3803765, 42.9292161)","(71.3792921, 42.9290439)"
Жургенева,12.482,"(71.3803765, 42.9292161)","(71.3805218, 42.9292519)"
Койбакова,145.797,"(71.3803765, 42.9292161)","(71.3806481, 42.9279224)"
Жургенева,12.482,"(71.3805218, 42.9292519)","(71.3803765, 42.9292161)"
,61.075,"(71.3899337, 42.9233245)","(71.3905928, 42.9235867)"
,61.075,"(71.3905928, 42.9235867)","(71.3899337, 42.9233245)"
Кенен Әзірбаев,175.69899999999998,"(71.3905928, 42.9235867)","(71.391273, 42.9220887)"
Кенен Әзірбаев,674.0219999999999,"(71.3905928, 42.9235867)","(71.3897209, 42.9293857)"
,43.168,"(71.3933541, 42.9227095)","(71.3928462, 42.9228208)"
Әбдібаев,235.37,"(71.3933541, 42.9227095)","(71.3935068, 42.924817)"
Әбдібаев,141.234,"(71.3933541, 42.9227095)","(71.3932829, 42.9214538)"
,43.168,"(71.3928462, 42.9228208)","(71.3933541, 42.9227095)"
Жылысбаев,70.696,"(71.3920301, 42.9238436)","(71.3924965, 42.9240828)"
,43.322,"(71.4019883, 42.9227098)","(71.4025154, 42.9227628)"
Көшеней,76.194,"(71.4025154, 42.9227628)","(71.4025556, 42.9234474)"
Көшеней,37.577,"(71.4025154, 42.9227628)","(71.4024775, 42.922426)"
,43.322,"(71.4025154, 42.9227628)","(71.4019883, 42.9227098)"
,36.441,"(71.3991478, 42.9271583)","(71.3992492, 42.9268391)"
Бурыл 3 переулок,383.76399999999995,"(71.3815868, 42.9146727)","(71.3816185, 42.9175292)"
Сухамбаева 3 переулок,168.29799999999997,"(71.3849188, 42.9189436)","(71.3855324, 42.9176679)"
Жагалау,225.294,"(71.4022031, 42.9152243)","(71.4016533, 42.9132386)"
Жагалау,52.311,"(71.4022031, 42.9152243)","(71.4023605, 42.9156804)"
,56.717,"(71.4022031, 42.9152243)","(71.4015079, 42.9152331)"
,56.717,"(71.4015079, 42.9152331)","(71.4022031, 42.9152243)"
,64.265,"(71.4036877, 42.9166279)","(71.4032399, 42.9171038)"
Сыпатай Батыр,118.32900000000001,"(71.4036877, 42.9166279)","(71.4043827, 42.9175582)"
Сыпатай Батыр,134.44,"(71.4036877, 42.9166279)","(71.4032548, 42.9155029)"
,64.265,"(71.4032399, 42.9171038)","(71.4036877, 42.9166279)"
Кошеней 7 переулок,340.847,"(71.4032399, 42.9171038)","(71.4023605, 42.9156804)"
Кошеней 3 переулок,76.33800000000001,"(71.4032399, 42.9171038)","(71.4037704, 42.9176393)"
,18.495,"(71.3976144, 42.9188918)","(71.3978395, 42.918914)"
,301.044,"(71.3976144, 42.9188918)","(71.3955567, 42.9206148)"
Койгельды,251.08499999999998,"(71.3976144, 42.9188918)","(71.3957167, 42.9173145)"
,101.922,"(71.3925399, 42.9193256)","(71.3914878, 42.9193177)"
Кенен Әзірбаев,38.832,"(71.3914878, 42.9193177)","(71.3914405, 42.9196652)"
Кенен Әзірбаев,132.463,"(71.3914878, 42.9193177)","(71.3915642, 42.9181292)"
,101.92200000000001,"(71.3914878, 42.9193177)","(71.3925399, 42.9193256)"
,55.231,"(71.3920813, 42.9195024)","(71.3914405, 42.9196652)"
Сеңкібай 1 переулок,216.853,"(71.398135, 42.9207752)","(71.4001779, 42.9212367)"
Сенкибай 3 переулок,121.422,"(71.3992293, 42.9210286)","(71.3989214, 42.9218481)"
Сеңкібай,78.257,"(71.4001779, 42.9212367)","(71.4002202, 42.9219398)"
Сеңкібай,115.038,"(71.4001779, 42.9212367)","(71.4001419, 42.9202025)"
Сеңкібай 1 переулок,216.853,"(71.4001779, 42.9212367)","(71.398135, 42.9207752)"
Абай даңғылы,50.872,"(71.3904887, 42.9106484)","(71.3899752, 42.9103879)"
Абай даңғылы,116.684,"(71.3904887, 42.9106484)","(71.391718, 42.9111874)"
,65.099,"(71.3904887, 42.9106484)","(71.3900857, 42.911154)"
,65.099,"(71.3900857, 42.911154)","(71.3904887, 42.9106484)"
Капал 5 переулок,102.727,"(71.3944832, 42.9148921)","(71.3956907, 42.9146248)"
Капал 4 переулок,93.78,"(71.3944832, 42.9148921)","(71.3940929, 42.915676)"
Капал 4 переулок,101.563,"(71.3944832, 42.9148921)","(71.3942817, 42.9139971)"
Капал 4 переулок,93.78,"(71.3940929, 42.915676)","(71.3944832, 42.9148921)"
Пирогова,79.675,"(71.3986832, 42.9020909)","(71.3989872, 42.9014213)"
Пирогова,153.882,"(71.3986832, 42.9020909)","(71.398631, 42.9034742)"
Лысенко,121.959,"(71.3986832, 42.9020909)","(71.3980291, 42.9029144)"
Кошеней 1 переулок,123.906,"(71.3980291, 42.9029144)","(71.3980353, 42.9040287)"
Лысенко,193.68,"(71.3980291, 42.9029144)","(71.3970233, 42.9041499)"
Лысенко,121.959,"(71.3980291, 42.9029144)","(71.3986832, 42.9020909)"
,48.636,"(71.4007046, 42.9036551)","(71.4001172, 42.9037337)"
Пирогова 2 переулок,157.724,"(71.4001172, 42.9037337)","(71.400755, 42.905073)"
,48.636,"(71.4001172, 42.9037337)","(71.4007046, 42.9036551)"
Пирогова 2 переулок,74.649,"(71.4001172, 42.9037337)","(71.3997719, 42.9031144)"
Капал 3 переулок,137.179,"(71.3939434, 42.9055898)","(71.3940587, 42.9043614)"
Кустанайскай 1 переулок,120.589,"(71.3748625, 42.8523021)","(71.373566, 42.8528243)"
Мусорского 2 переулок,76.547,"(71.388037, 42.8564624)","(71.3889724, 42.8564015)"
Мусорского 2 переулок,76.56,"(71.388037, 42.8564624)","(71.3871024, 42.8565308)"
Мусорского 2 переулок,233.95799999999997,"(71.388037, 42.8564624)","(71.3884563, 42.8585241)"
Мусорского 2 переулок,124.819,"(71.3871445, 42.8576529)","(71.3871024, 42.8565308)"
Карасу 3,46.619,"(71.3715233, 42.8578214)","(71.3716118, 42.8574072)"
Карасу 3,58.443,"(71.3715233, 42.8578214)","(71.371392, 42.8583381)"
,78.759,"(71.3715233, 42.8578214)","(71.3724744, 42.8579463)"
,78.759,"(71.3724744, 42.8579463)","(71.3715233, 42.8578214)"
Карасу 2,85.469,"(71.3724744, 42.8579463)","(71.3726368, 42.8571873)"
Карасу 2,238.521,"(71.3724744, 42.8579463)","(71.3719989, 42.8600628)"
,110.63,"(71.3767954, 42.8608624)","(71.3754381, 42.8608662)"
,76.475,"(71.374155, 42.8608416)","(71.3732468, 42.8610143)"
Карасу 1,69.426,"(71.374155, 42.8608416)","(71.3743397, 42.8614419)"
Карасу 1,122.39699999999999,"(71.374155, 42.8608416)","(71.3741843, 42.8597445)"
Ишина,18.559,"(71.3754381, 42.8608662)","(71.375439, 42.8610331)"
Ишина,143.12,"(71.3754381, 42.8608662)","(71.3754427, 42.8595791)"
,110.63,"(71.3754381, 42.8608662)","(71.3767954, 42.8608624)"
,76.475,"(71.3732468, 42.8610143)","(71.374155, 42.8608416)"
Карасу 2,108.65,"(71.3708945, 42.8612138)","(71.3720104, 42.8606793)"
Тынышпаев,26.04,"(71.3779562, 42.8673446)","(71.377675, 42.8672334)"
Тынышпаев,103.674,"(71.3779562, 42.8673446)","(71.3789149, 42.8679465)"
Локомотивная,195.801,"(71.3779562, 42.8673446)","(71.3794174, 42.8659929)"
Уездный проезд,39.466,"(71.3850636, 42.8621183)","(71.3845804, 42.8621413)"
Уездный проезд,63.387,"(71.3850636, 42.8621183)","(71.3858306, 42.8620376)"
,79.508,"(71.3850636, 42.8621183)","(71.385323, 42.8628072)"
Акылбекова 2 переулок,68.062,"(71.385323, 42.8628072)","(71.3860096, 42.8624588)"
Акылбекова 2 переулок,69.493,"(71.385323, 42.8628072)","(71.384606, 42.8631454)"
,79.508,"(71.385323, 42.8628072)","(71.3850636, 42.8621183)"
Аппаева,91.602,"(71.3882101, 42.8643564)","(71.3893033, 42.8645477)"
Аппаева,62.211,"(71.3882101, 42.8643564)","(71.3874531, 42.8643001)"
Аппаева 1 переулок,236.199,"(71.3882101, 42.8643564)","(71.38663, 42.8637051)"
,89.446,"(71.3794174, 42.8659929)","(71.3799721, 42.866687)"
Локомотивная,195.801,"(71.3794174, 42.8659929)","(71.3779562, 42.8673446)"
Локомотивная,75.763,"(71.3794174, 42.8659929)","(71.3795541, 42.8653275)"
,89.446,"(71.3799721, 42.866687)","(71.3794174, 42.8659929)"
Акылбекова,315.956,"(71.3799721, 42.866687)","(71.3831164, 42.8650255)"
Акылбекова,164.435,"(71.3799721, 42.866687)","(71.3789149, 42.8679465)"
,32.627,"(71.3952679, 42.8500185)","(71.3953472, 42.8503061)"
Азизбекова,97.813,"(71.3972934, 42.8511056)","(71.3984176, 42.8507983)"
Азизбекова,192.524,"(71.3972934, 42.8511056)","(71.3949643, 42.8510634)"
Ягодная,132.017,"(71.3972934, 42.8511056)","(71.3980769, 42.8521056)"
Арыстан Баб көшесі,34.85,"(71.3993983, 42.8533077)","(71.3989773, 42.8532532)"
Арыстан Баб көшесі,62.697,"(71.3993983, 42.8533077)","(71.4001608, 42.8533815)"
